nama,id,kode,tingkat
Banjar,191440,6303,2
Barito Kuala,191441,6304,2
Hulu Sungai Selatan,191443,6306,2
Hulu Sungai Tengah,191444,6307,2
Hulu Sungai Utara,191445,6308,2
Kota Banjarbaru,191450,6372,2
Kota Banjarmasin,191449,6371,2
Kotabaru,191439,6302,2
Tabalong,191446,6309,2
Tanah Bumbu,191447,6310,2
Tanah Laut,164831,6301,2
Tapin,191442,6305,2
Berau,191452,6403,2
Kota Balikpapan,191457,6471,2
Kota Bontang,168174,6474,2
Kota Samarinda,191458,6472,2
Kutai Barat,191453,6407,2
Kutai Kartanegara,191451,6402,2
Kutai Timur,191454,6408,2
Mahakam Ulu,191456,6411,2
Paser,167006,6401,2
Penajam Paser Utara,191455,6409,2
Bulungan,168175,6501,2
Kota Tarakan,168683,6571,2
Malinau,191459,6502,2
Nunukan,191460,6503,2
Tana Tidung,191461,6504,2
Bangka,126661,1901,2
Bangka Barat,191262,1905,2
Bangka Selatan,191260,1903,2
Bangka Tengah,191261,1904,2
Belitung,191259,1902,2
Belitung Timur,191263,1906,2
Kota Pangkal Pinang,191264,1971,2
Buru,191536,8104,2
Buru Selatan,191541,8109,2
Kepulauan Aru,191539,8107,2
Kepulauan Tanimbar,191535,8103,2
Kota Ambon,191542,8171,2
Kota Tual,191543,8172,2
Maluku Barat Daya,191540,8108,2
Maluku Tengah,180295,8101,2
Maluku Tenggara,191534,8102,2
Seram Bagian Barat,191538,8106,2
Seram Bagian Timur,191537,8105,2
Bintan,121936,2101,2
Karimun,191231,2102,2
Kepulauan Anambas,191234,2105,2
Kota Batam,191230,2171,2
Kota Tanjung Pinang,127557,2172,2
Lingga,191233,2104,2
Natuna,191232,2103,2
Kota Bandar Lampung,191258,1871,2
Kota Metro,126660,1872,2
Lampung Barat,191248,1804,2
Lampung Selatan,191245,1801,2
Lampung Tengah,191246,1802,2
Lampung Timur,191251,1807,2
Lampung Utara,191247,1803,2
Mesuji,191255,1811,2
Pesawaran,191253,1809,2
Pesisir Barat,191257,1813,2
Pringsewu,191254,1810,2
Tanggamus,191250,1806,2
Tulang Bawang,191249,1805,2
Tulang Bawang Barat,191256,1812,2
Way Kanan,191252,1808,2
Halmahera Barat,191545,8201,2
Halmahera Selatan,191548,8204,2
Halmahera Tengah,191546,8202,2
Halmahera Timur,191550,8206,2
Halmahera Utara,191547,8203,2
Kepulauan Sula,191549,8205,2
Kota Ternate,191544,8271,2
Kota Tidore Kepulauan,191553,8272,2
Pulau Morotai,191551,8207,2
Pulau Taliabu,191552,8208,2
Bima,191415,5206,2
Dompu,191414,5205,2
Kota Bima,191413,5272,2
Kota Mataram,191411,5271,2
Lombok Barat,155798,5201,2
Lombok Tengah,191409,5202,2
Lombok Timur,191410,5203,2
Lombok Utara,191417,5208,2
Sumbawa,191412,5204,2
Sumbawa Barat,191416,5207,2
Fak Fak,191562,9203,2
Kaimana,191565,9208,2
Manokwari,184069,9202,2
Manokwari Selatan,191566,9211,2
Pegunungan Arfak,191567,9212,2
Teluk Bintuni,191563,9206,2
Teluk Wondama,191564,9207,2
Biak Numfor,191555,9106,2
Jayapura,182979,9103,2
Keerom,191557,9111,2
Kepulauan Yapen,191554,9105,2
Kota Jayapura,191561,9171,2
Mamberamo Raya,191560,9120,2
Sarmi,191556,9110,2
Supiori,191559,9119,2
Waropen,191558,9115,2
Alor,191421,5305,2
Belu,191420,5304,2
Ende,191424,5308,2
Flores Timur,191422,5306,2
Kab Timor Tengah Selatan,191418,5302,2
Kota Kupang,191438,5371,2
Kupang,157047,5301,2
Lembata,191429,5313,2
Malaka,191437,5321,2
Manggarai,191426,5310,2
Manggarai Barat,191431,5315,2
Manggarai Timur,191435,5319,2
Nagekeo,191432,5316,2
Ngada,191425,5309,2
Rote Ndao,191430,5314,2
Sabu Raijua,191436,5320,2
Sikka,191423,5307,2
Sumba Barat,191428,5312,2
Sumba Barat Daya,191434,5318,2
Sumba Tengah,191433,5317,2
Sumba Timur,191427,5311,2
