nama,id,kode,tingkat
Tanah Hitam,122520,1703092009,4
Tanah Tinggi,122523,1703092012,4
Tanjung Harapan,122515,1703092004,4
Air Sebayur,122679,1703242001,4
Air Sekamanak,122680,1703242002,4
Air Simpang,122681,1703242003,4
Bukit Harapan,122687,1703242009,4
Bukit Makmur,122682,1703242004,4
Bumi Harjo,122684,1703242006,4
Gunung Payung,122686,1703242008,4
Marga Bhakti,122683,1703242005,4
Sumber Mulya,122685,1703242007,4
Tanjung Muara,122688,1703242010,4
Air Muring,122581,1703142013,4
Air Pandan,122582,1703142014,4
Air Petai,122584,1703142017,4
Cipta Mulya,122583,1703142015,4
Karang Pulau,122586,1703142019,4
Karang Tengah,122585,1703142018,4
Kota Bani,122580,1703142009,4
Pasar Sebelat,122579,1703142008,4
Talang Arah,122578,1703142007,4
Alun Dua,122659,1703222003,4
Ketapi,122660,1703222004,4
Lubuk Gading,122664,1703222008,4
Lubuk Pendam,122658,1703222002,4
Lubuk Semantung,122661,1703222005,4
Padang Sepan,122666,1703222010,4
Sawang Lebar,122662,1703222006,4
Sawang Lebar Ilir,122663,1703222007,4
Sengkuang,122657,1703222001,4
Tanjung Agung,122665,1703222009,4
Air Lelangi,122668,1703232001,4
Bangun Karya,122675,1703232008,4
Bukit Berlian,122669,1703232002,4
Bukit Sari,122671,1703232004,4
Pagardin,122672,1703232005,4
Pondok Bakil,122676,1703232009,4
Talang Berantai,122677,1703232010,4
Tanjung Dalam,122670,1703232003,4
Tanjung Harapan,122673,1703232006,4
Tanjung Sari,122674,1703232007,4
Air Napal,123671,1709102008,4
Bang Haji,123674,1709102011,4
Genting,123672,1709102009,4
Lubuk Langkap,123670,1709102007,4
Padang Berunai,123669,1709102006,4
Sekayun,123664,1709102001,4
Sekayun Hilir,123666,1709102003,4
Sekayun Mudik,123665,1709102002,4
Sungkai Berayun,123675,1709102012,4
Taba Tengah,123668,1709102005,4
Talang Donok,123667,1709102004,4
Talang Panjang,123673,1709102010,4
Durian Demang,123538,1709012004,4
Dusun Baru II,123540,1709012007,4
Kancing,123544,1709012011,4
Karang Tinggi,123542,1709012009,4
Padang Tambak,123537,1709012003,4
Pelajau,123539,1709012005,4
Penanding,123541,1709012008,4
Renah Lebar,123543,1709012010,4
Renah Semanek,123547,1709012015,4
Taba Mutung,123546,1709012013,4
Taba Terunjam,123535,1709012001,4
Talang Empat,123536,1709012002,4
Ujung Karang,123545,1709012012,4
Bajak II,123630,1709072010,4
Jambu,123621,1709072001,4
Kelindang,123629,1709072009,4
Kelindang Atas,123633,1709072013,4
Lubuk Unen,123625,1709072005,4
Lubuk Unen Baru,123631,1709072011,4
Padang Kedeper,123632,1709072012,4
Penembang,123622,1709072002,4
Pungguk Beringin,123627,1709072007,4
Pungguk Ketupak,123626,1709072006,4
Taba Durian Sebakul,123624,1709072004,4
Talang Ambung,123623,1709072003,4
Ulak Lebar,123628,1709072008,4
Arga Indah II,123640,1709082006,4
Bajak Tiga,123636,1709082002,4
Curup,123641,1709082007,4
Durian Lebar,123645,1709082011,4
Karang Panggung,123642,1709082008,4
Komering,123635,1709082001,4
Lubuk Pendam,123643,1709082009,4
Lubuk Puar,123644,1709082010,4
Pagar Agung,123646,1709082012,4
Pagar Besi,123649,1709082015,4
Pungguk Jaya,123647,1709082013,4
Punjung,123638,1709082004,4
Rajak Besi,123637,1709082003,4
Susup,123639,1709082005,4
Taba Gemantung,123648,1709082014,4
Arga Indah I,123602,1709052018,4
Datar Penokat,123597,1709052013,4
Karang Are,123596,1709052012,4
Keroya,123603,1709052022,4
Kerta Pati,123594,1709052009,4
Kertapati Mudik,123604,1709052023,4
Layang Lekat,123598,1709052014,4
Pagar Jati,123595,1709052010,4
Rena Jaya,123605,1709052024,4
Rena Kandis,123601,1709052017,4
Taba Renah,123593,1709052008,4
Talang Curup,123600,1709052016,4
Temiang,123592,1709052006,4
Tumbuk,123599,1709052015,4
Air Kotok,123582,1709042015,4
Aturan Mumpo,123578,1709042002,4
Aturan Mumpo II,123589,1709042022,4
Batu Beriang,123583,1709042016,4
Genting Dabuk,123590,1709042023,4
Kebun Lebar,123586,1709042019,4
Kota Titik,123580,1709042004,4
Pematang Tiga,123584,1709042017,4
Pematang Tiga Lama,123588,1709042021,4
Senabah,123581,1709042007,4
Talang Tengah II,123579,1709042003,4
Tanjung Kepahyang,123587,1709042020,4
Tiambang,123585,1709042018,4
Abu Sakim,123575,1709032024,4
Bintang Selatan,123574,1709032023,4
Harapan,123576,1709032025,4
Kembang Ayun,123571,1709032020,4
Padang Betuah,123566,1709032015,4
Pagar Dewa,123570,1709032019,4
Panca Mukti,123572,1709032021,4
Pasar Pedati,123563,1709032012,4
Pekik Nyaring,123562,1709032011,4
Pondok Kelapa,123565,1709032014,4
Sidodadi,123568,1709032017,4
Sidorejo,123567,1709032016,4
