nama,id,kode,tingkat
Kaway XVI,100554,110502,3
Meureubo,101764,110509,3
Pante Ceureumen,101738,110508,3
Panton Reu,101843,110512,3
Samatiga,101659,110505,3
Sungai Mas,101596,110503,3
Woyla,101615,110504,3
Woyla Barat,101791,110510,3
Woyla Timur,101816,110511,3
Babah Rot,105161,111206,3
Blangpidie,105053,111201,3
Jeumpa,105186,111208,3
Kuala Batee,105139,111205,3
Lembah Sabil,105199,111209,3
Manggeng,105090,111203,3
Setia,105176,111207,3
Susoh,105109,111204,3
Tangan-tangan,105074,111202,3
Baitussalam,102429,110620,3
Blang Bintang,102464,110623,3
Darul Imarah,102098,110607,3
Darul Kamal,102414,110619,3
Darussalam,102271,110612,3
Indrapuri,101921,110603,3
Ingin Jaya,102172,110610,3
Kota Jantho,102332,110615,3
Krueng Barona Jaya,102443,110621,3
Kuta Baro,102223,110611,3
Kuta Cot Glie,102346,110616,3
Kuta Malaka,102379,110617,3
Lembah Seulawah,102319,110614,3
Leupung,102457,110622,3
Lhoknga,101892,110602,3
Lhoong,101863,110601,3
Mesjid Raya,102158,110609,3
Montasik,102022,110605,3
Peukan Bada,102131,110608,3
Pulo Aceh,102301,110613,3
Seulimeum,101974,110604,3
Simpang Tiga,102395,110618,3
Sukamakmur,102062,110606,3
Darul Hikmah,105480,111408,3
Indra Jaya,105465,111407,3
Jaya,105437,111405,3
Krueng Sabee,105386,111402,3
Panga,104996,111406,3
Pasie Raya,105500,111409,3
Sampoi Niet,105417,111404,3
Setia Bakti,105234,111403,3
Teunom,105363,111401,3
Bakongan,100001,110101,3
Bakongan Timur,100243,110115,3
Kluet Selatan,100031,110103,3
Kluet Tengah,100218,110113,3
Kluet Timur,100233,110114,3
Kluet Utara,100009,110102,3
Kota Bahagia,100260,110117,3
Labuhan Haji Barat,100202,110112,3
Labuhan Haji Timur,100189,110111,3
Labuhanhaji,100049,110104,3
Meukek,100068,110105,3
Pasi Raja,100167,110110,3
Samadua,100092,110106,3
Sawang,100121,110107,3
Tapaktuan,100137,110108,3
Trumon,100154,110109,3
Trumon Tengah,100271,110118,3
Trumon Timur,100251,110116,3
Atu Lintang,101477,110418,3
Bebesen,101282,110403,3
Bies,101500,110420,3
Bintang,101343,110408,3
Celala,101440,110413,3
Jagong Jeget,101489,110419,3
Kebayakan,101394,110411,3
Ketol,101368,110410,3
Kute Panang,101415,110412,3
Laut Tawar,101458,110417,3
Linge,101221,110401,3
Pegasing,101311,110407,3
Rusip Antara,101513,110421,3
Silih Nara,101248,110402,3
Danau Paris,104362,111011,3
Gunung Meriah,104318,111006,3
Kota Baharu,104344,111009,3
Kuala Baru,104388,111014,3
Pulau Banyak,104271,111001,3
Pulau Banyak Barat,104393,111016,3
Simpang Kanan,104275,111002,3
Singkil,104301,111004,3
Singkil Utara,104354,111010,3
Singkohor,104381,111013,3
Suro Makmur,104369,111012,3
Babul Makmur,100428,110206,3
Babul Rahmah,100548,110211,3
Babussalam,100381,110204,3
Badar,100409,110205,3
Bambel,100347,110203,3
Bukit Tusam,100504,110209,3
Darul Hasanah,100450,110207,3
Deleng Pokhkisen,100603,110213,3
Ketambe,100577,110212,3
Lawe Alas,100282,110201,3
Lawe Bulan,100479,110208,3
Lawe Sigala-gala,100311,110202,3
Lawe Sumur,100626,110214,3
Leuser,100660,110216,3
Semadam,100528,110210,3
Tanoh Alas,100645,110215,3
Banda Mulia,105927,111609,3
Bandar Pusaka,105938,111610,3
Bendahara,105785,111602,3
Karang Baru,105819,111603,3
Kejuruan Muda,105882,111606,3
Kota Kualasinpang,105876,111605,3
Manyak Payed,105748,111601,3
Rantau,105909,111608,3
Sekerak,105682,111612,3
Seruway,105851,111604,3
Tamiang Hulu,105899,111607,3
Tenggulun,105954,111611,3
Banda Alam,101077,110315,3
Birem Bayeun,100804,110304,3
Darul Aman,100684,110301,3
Darul Falah,101189,110322,3
Darul Ihsan,101172,110321,3
IDI Rayeuk,100768,110303,3
IDI Timur,101201,110323,3
IDI Tunong,100223,110314,3
Indra Makmu,101038,110313,3
Julok,100730,110302,3
Madat,101011,110312,3
Nurussalam,100850,110306,3
Pante Bidari,100985,110311,3
Peudawa,101094,110316,3
Peunaron,101215,110324,3
Peureulak,100882,110307,3
Peureulak Barat,101133,110318,3
Peureulak Timur,101112,110317,3
Rantau Selamat,100921,110308,3
Ranto Peureulak,100961,110310,3
Serbajadi,100832,110305,3
Simpang Jernih,101163,110320,3
Simpang Ulim,100936,110309,3
Sungai Raya,101149,110319,3
Gandapura,104684,111107,3
Jangka,104782,111110,3
Jeumpa,104542,111104,3
Jeunieb,104445,111102,3
Juli,104745,111109,3
Kota Juang,104894,111113,3
Kuala,104918,111114,3
Kuta Blang,104567,111117,3
Makmur,104656,111106,3
Pandrah,104725,111108,3
Peudada,104489,111103,3
Peulimbang,104871,111112,3
Peusangan,104586,111105,3
Peusangan Selatan,104961,111116,3
Peusangan Siblah Krueng,104939,111115,3
Samalanga,104398,111101,3
Simpang Mamplam,104829,111111,3
Baktiya,103244,110801,3
Baktiya Barat,103953,110819,3
Banda Baro,104106,110826,3
Cot Girek,103904,110817,3
Dewantara,103302,110802,3
Geuredong Pase,104094,110825,3
Kuta Makmur,103318,110803,3
Langkahan,103929,110818,3
Lapang,104058,110823,3
